partyPack,game,totalScore,avgScore
1,You Don't Know Jack,54,9.0
1,Fibbage XL,45,7.5
1,Drawful,31,5.2
1,Word Spud,44,7.3
1,Lie Swatter,36,6.0
2,Fibbage 2,43,7.2
2,Bidiots,44,7.3
2,Earwax,44,7.3
2,Quiplash XL,57,9.5
3,Quiplash 2,58,9.7
3,Trivia Murder Party,44,7.3
3,Guesspionage,56,9.3
3,Tee K.O.,48,8.0
4,Fibbage 3,46,7.7
4,Fibbage About You,53,8.8
4,Survive The Internet,47,7.8
4,Monster Seeking Monster,32,5.3
4,Bracketeering,16,2.7
4,Civic Doodle,19,3.2
5,You Don't Know Jack - Full Stream,51,8.5
5,Mad Verse City,48,8.0
5,Split The Room,41,6.8
5,Zeeple Dome,23,3.8
6,Trivia Murder Party 2,45,7.5
6,Role Models,47,7.8
6,Joke Boat,35,5.8
6,Dictionarium,24,4.0
6,Push The Button (Adong Us),29,4.8
7,The Devil and the Details,43,7.2
7,Champ'd Up,43,7.2
7,Blather Round,57,9.5
7,Quiplash 3,55,9.2
